Designator,Mid X,Mid Y,Rotation,Layer
C1,140.233501,-100.584,0.0,top
C2,127.0,-93.726,270.0,top
C3,121.806,-90.805,0.0,top
C4,118.67,-83.05,90.0,top
C5,115.05,-87.85,90.0,top
J5,144.78,-86.868,90.0,top
L1,140.208,-98.806,0.0,top
L2,121.793,-92.456,180.0,top
L3,117.2,-83.05,270.0,top
L4,115.03,-90.86,90.0,top
Y1,133.12,-93.89,180.0,top
Y4,119.716,-87.209,270.0,top
