Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0603,2,0.1uF 50V,C14663
C2,0603,1,10uF 50V,C96446
L1,0603,1,FB,C1002
"R1, R2, R3, R4",0603,4,10k,C25804
"U1, U2",PE4312-QFN-20,2,PE4312,C500480
